Name,Lat,Long
" Crossroads Pregnancy Resource Center
"," 47.1114
"," -119.262
"
" Next Step Pregnancy Services
"," 47.8389
"," -122.3
"
" Pregnancy Care Clinic
"," 48.0376
"," -122.405
"
" Care Net Pregnancy and Family Services of Puget Sound
"," 47.1584
"," -122.521
"
" Hope Medical
"," 46.2305
"," -119.222
"
" You Medical
"," 46.2346
"," -119.107
"
" You Medical
"," 46.2126
"," -119.19
"
" Care Net Pregnancy and Family Services of Puget Sound
"," 47.76
"," -122.252
"
" Life Options
"," 46.2533
"," -119.902
"
" Care Net Pregnancy Centers of Okanogan County
"," 47.9433
"," -119.006
"
" Goldendale Pregnancy Resource Center
"," 45.8205
"," -120.824
"
" Care Net Pregnancy and Family Services of Puget Sound
"," 47.3094
"," -122.576
"
" Care Net Pregnancy and Family Services of Puget Sound
"," 47.3122
"," -122.315
"
" Care Net Pregnancy and Family Services of Puget Sound
"," 47.5597
"," -121.86
"
" Pregnancy Resource Center
"," 47.9604
"," -122.21
"
" Crossroads Pregnancy Resource Center of Ephrata
"," 47.3246
"," -119.548
"
" Care Net Pregnancy Center of Kittitas County
"," 46.9958
"," -120.547
"
" Possibilities Women's Center
"," 46.7189
"," -122.966
"
" Care Net Pregnancy Centers of Okanogan County
"," 48.0978
"," -119.78
"
" Pregnancy Resource Services
"," 47.6072
"," -122.628
"
" Whatcom County Pregnancy Clinic
"," 48.7487
"," -122.476
"
" Branches Pregnancy Resource Center
"," 42.846
"," -72.5641
"
" First Step Pregnancy Center
"," 43.6076
"," -72.9811
"
" Pregnancy Resource Center of Addison County
"," 44.0055
"," -73.1602
"
" Aspire Together
"," 44.8046
"," -73.0893
"
" Aspire Together
"," 44.4809
"," -73.1975
"
" Birthright
"," 44.4771
"," -73.208
"
" True North Pregnancy Resourse Center
"," 42.8792
"," -73.1973
"
" Care Net Pregnancy Center
"," 44.1982
"," -72.502
"
" AbbaCare Inc.
"," 39.1618
"," -78.1793
"
" Hope Pregnancy Care Center
"," 37.2517
"," -76.7373
"
" ComfortCare Women's Health
"," 38.0685
"," -78.9016
"
" Warrenton Pregnancy Center
"," 38.7212
"," -77.7833
"
" The Keim Center of Virginia Beach
"," 36.8372
"," -76.1251
"
" The Keim Center of Suffolk
"," 36.7323
"," -76.5815
"
" ComfortCare Women's Health
"," 38.1593
"," -79.0701
"
" Blue Ridge Women's Center
"," 37.3187
"," -79.9556
"
" East End Pregnancy Test and Help Center
"," 37.5422
"," -77.3705
"
" Pregnancy Resource Center of Metro Richmond
"," 37.581
"," -77.5006
"
" Valley Women's Clinic
"," 37.1369
"," -80.5539
"
" The Keim Center of Portsmouth
"," 36.8157
"," -76.3573
"
" Pregnancy Support Center of the Tri-Cities
"," 37.2175
"," -77.4
"
" The Pregnancy Centers of Central VA
"," 38.2519
"," -78.1132
"
" Birthright of Norfolk
"," 36.8993
"," -76.2817
"
" The Keim Center of Norfolk
"," 36.8697
"," -76.2919
"
" Alcove Health A Women's Clinic
"," 37.0828
"," -76.4809
"
" Pregnancy Care Center of MHC Inc
"," 36.696
"," -79.8598
"
" Birthright of Manassas
"," 38.7941
"," -77.5173
"
" Care Net Pregnancy Resource Centers
"," 38.7672
"," -77.4792
"
" Blue Ridge Pregnancy Center
"," 37.4173
"," -79.1746
"
" The Life Center of Page Valley
"," 38.6664
"," -78.4556
"
" ComfortCare Women's Health
"," 37.7727
"," -79.4464
"
" Birthright of Leesburg
"," 39.1039
"," -77.5725
"
" Mosaic Virginia
"," 39.0794
"," -77.4775
"
" A Woman's Choice
"," 38.9668
"," -77.3664
"
" AVA Care of Harrisonburg
"," 38.4407
"," -78.8565
"
" Tri-Area Pregnancy Resource Center
"," 36.6623
"," -80.9246
"
" Front Royal Pregnancy Center
"," 38.9176
"," -78.1937
"
" Birthright of Fredericksburg
"," 38.2772
"," -77.4816
"
" Choices Women's Center
"," 38.3012
"," -77.4808
"
" Pregnancy Support Center of Southside VA
"," 37.3028
"," -78.3922
"
" A Woman's Choice
"," 38.8656
"," -77.1517
"
" Hope in Northern Virginia inc.
"," 38.8881
"," -77.1773
"
" NOVA Pregnancy Help Centers
"," 38.8498
"," -77.3028
"
" Shenandoah County Pregnancy Center
"," 38.8207
"," -78.5717
"
" Transition Pregnancy Solutions
"," 36.6294
"," -79.3855
"
" Birthright
"," 38.6438
"," -77.3379
"
" The Pregnancy Centers of Central VA
"," 38.4545
"," -78.0109
"
" The Selah Center
"," 36.6243
"," -78.5566
"
" Pregnancy Help Center of Chesterfield
"," 37.3678
"," -77.4193
"
" The Keim Center Regional Clinic in Greenbrier
"," 36.7605
"," -76.2523
"
" The Pregnancy Centers of Central VA
"," 38.0303
"," -78.4861
"
" The Pregnancy Centers of Central VA
"," 38.0741
"," -78.4893
"
" Valley Women's Clinic
"," 37.2353
"," -80.4201
"
" Women's Pregnancy Support
"," 37.6871
"," -75.7218
"
" Bedford Pregnancy Center
"," 37.3328
"," -79.514
"
" Gabriel Project
"," 38.8721
"," -77.1036
"
" Metro Women's Care
"," 38.8142
"," -77.1845
"
" The MaRiH Center
"," 38.8079
"," -77.0865
"
" NOVA Pregnancy Help Centers
"," 38.7195
"," -77.1252
"
" The Center For Pregnancy Choices
"," 41.7329
"," -111.832
"
" Pregnancy Resource Center of Salt Lake City
"," 40.7551
"," -111.866
"
" Hope Pregnancy Care Center of St. George
"," 37.0999
"," -113.575
"
" Arches New Hope Pregnancy Center
"," 38.57
"," -109.543
"
" Journey Clinic
"," 41.1593
"," -112.027
"
" Pregnancy Help Center
"," 40.6644
"," -111.497
"
" Pregnancy Care Center
"," 41.5071
"," -112.018
"
" White Rose Women's Center
"," 32.8809
"," -96.7571
"
" Baptist Healthy Women's Center
"," 29.4026
"," -98.3875
"
" E Texas Pregnancy Help Center
"," 30.7797
"," -94.4183
"
" The Center
"," 33.8989
"," -98.5451
"
" The Options Clinic
"," 32.7499
"," -97.7878
"
" FirstLook Clinic
"," 32.3994
"," -96.843
"
" Waller Pregnancy Care Center
"," 30.0582
"," -95.9253
"
" Care Net of Central Texas
"," 31.5472
"," -97.146
"
" Crisis Pregnancy Center of Victoria Texas Inc.
"," 28.8133
"," -96.9891
"
" The Center
"," 34.1538
"," -99.2901
"
" Pregnancy Resource Center
"," 32.3375
"," -95.2858
"
" Tomball Pregnancy Center
"," 30.0963
"," -95.6255
"
" Pregnancy and Parenting Support Center
"," 29.3906
"," -94.9022
"
" 1st Choice Pregnancy Resource Center
"," 33.425
"," -94.046
"
" Hope Pregnancy Centers Inc.
"," 31.0949
"," -97.3652
"
" Women's Resource Center
"," 32.4691
"," -100.415
"
" NE Texas Heart of Hope
"," 33.134
"," -95.6028
"
" Choices Clinic
"," 32.2064
"," -98.2157
"
" Bulverde/Spring Branch Pregnancy Care Center
"," 29.8048
"," -98.3786
"
" Pregnancy Assistance Center N
"," 30.1481
"," -95.4465
"
" True Options Pregnancy Center
"," 33.6386
"," -96.6103
"
" S Texas Pregnancy Care Center
"," 29.569
"," -97.9805
"
" Sealy Pregnancy Resource Center
"," 29.7888
"," -96.1861
"
" Central Texas Pregnancy Care Center
"," 31.1961
"," -98.7223
"
" Central Texas LifeCare
"," 29.8917
"," -97.9202
"
" Baptist Healthy Women's Center
"," 29.5112
"," -98.386
"
" A Woman's Haven Pregnancy Center
"," 29.5231
"," -98.5707
"
" Allied Women's Center
"," 29.4381
"," -98.4967
"
" San Antonio Pregnancy Care Center
"," 29.5
"," -98.5772
"
" Resources for Women
"," 29.6196
"," -98.3076
"
" Any Woman Can
"," 29.6134
"," -98.4923
"
" Life Choices Medical Clinic
"," 29.4663
"," -98.6253
"
" Baptist Healthy Women's Center
"," 29.357
"," -98.5121
"
" Baptist Healthy Women's Center
"," 29.4277
"," -98.5242
"
" Baptist Healthy Women's Center
"," 29.4777
"," -98.5381
"
" Pregnancy Help Center of Concho Valley Inc.
"," 31.45
"," -100.47
"
" Agape Pregnancy Resource Center
"," 30.5089
"," -97.6785
"
" Pregnancy Resource Medical Center
"," 29.5491
"," -95.7804
"
" Pregnancy Resource Center
"," 32.9191
"," -96.461
"
" Place of Hope
"," 30.6567
"," -96.9999
"
" Prestonwood Pregnancy Center
"," 32.9785
"," -96.7441
"
" Raffa Clinic
"," 32.9156
"," -96.1315
"
" Kleberg County Pregnancy Resource Center
"," 27.3562
"," -98.1264
"
" Pregnancy Center of the Coastal Bend
"," 27.8751
"," -97.322
"
" Pregnancy Help Center of the CrossRds Area
"," 28.6192
"," -96.6259
"
" Real Options for Women
"," 33.0283
"," -96.7057
"
" Compassionate Care Pregnancy Center
"," 34.1938
"," -101.725
"
" Pflugerville Pregnancy Resource Center
"," 30.4408
"," -97.6223
"
" Community Pregnancy Center of Pasadena
"," 29.6583
"," -95.1782
"
" Paris Pregnancy Care Center
"," 33.6618
"," -95.552
"
" Pregnancy Support Center
"," 35.5346
"," -100.968
"
" Living Alternatives of Palestine
"," 31.7397
"," -95.6441
"
" Birthright of Orange
"," 30.103
"," -93.7719
"
" Birthright of Odessa
"," 31.8904
"," -102.354
"
" The Life Center
"," 31.8493
"," -102.376
"
" Pregnancy Help 4 U
"," 32.8925
"," -97.2024
"
" Choices Clinic
"," 33.1939
"," -98.7413
"
" Options For Life
"," 29.7239
"," -98.1055
"
" Heartbeat Pregnancy Center
"," 31.655
"," -94.6511
"
" Tri-Lakes Pregnancy Center
"," 33.1775
"," -95.2329
"
" Pregnancy Resource Center of the Rio Grande Valley
"," 26.2155
"," -98.3237
"
" The Life Center
"," 31.9935
"," -102.097
"
" Creekside Center for Hope
"," 31.7455
"," -96.5053
"
" Pregnancy Resource Center
"," 32.8097
"," -96.6129
"
" Hope Women's Center
"," 33.1994
"," -96.6514
"
" McAllen Pregnancy Center
"," 26.1966
"," -98.2332
"
" Marshall Pregnancy Resource Center
"," 32.5362
"," -94.3711
"
" Highland Lakes Pregnancy Resource Center
"," 30.5771
"," -98.2764
"
" Metroplex Women's Clinic
"," 32.5652
"," -97.1282
"
" S Texas Pregnancy Care Center
"," 29.6792
"," -97.6509
"
" Pregnancy Help Center of Lufkin
"," 31.3297
"," -94.7512
"
" The Nurturing Center
"," 33.5339
"," -101.886
"
" Parkridge
"," 33.5219
"," -101.923
"
" Heartline Women's Center
"," 33.5842
"," -101.867
"
" Expectant Heart Pregnancy Resource Center
"," 32.5063
"," -94.7779
"
" G.R.A.C.E Pregnancy Outreach
"," 30.7187
"," -94.9327
"
" ABBA Women's Center
"," 33.0408
"," -97.0107
"
" SomeOne Cares Advocacy & Pregnancy Center of Lewisville
"," 33.0416
"," -96.9972
"
" Anchor Point
"," 29.5296
"," -95.0738
"
" Laredo Life Pregnancy Center
"," 27.5146
"," -99.4802
"
" The Grace Pregnancy Center
"," 27.5457
"," -99.4852
"
" The Pregnancy Help Center
"," 29.0158
"," -95.423
"
" S Texas Pregnancy Care Center
"," 29.3534
"," -98.1145
"
" Highland Lakes Pregnancy Resource Center
"," 30.6546
"," -98.4478
"
" Hope Pregnancy Center
"," 31.1072
"," -97.7374
"
" Pregnancy Help 4 U
"," 32.9347
"," -97.2454
"
" Still Waters
"," 32.5912
"," -96.2964
"
" Pregnancy Help Center of W Houston
"," 29.7929
"," -95.7437
"
" E Texas Pregnancy Help Center
"," 30.9227
"," -94.0016
"
" Living Alternatives
"," 31.9571
"," -95.2676
"
" Mid Cities Pregnancy Center
"," 32.8385
"," -96.9599
"
" Care Center Huntsville
"," 30.7187
"," -95.5524
"
" Birthright of Humble
"," 29.9986
"," -95.2516
"
" Blue Blossom Pregnancy Center
"," 29.793
"," -95.376
"
" Birthright of Houston
"," 29.7891
"," -95.5214
"
" Hannah's Heart of Hope Women's Center
"," 29.7239
"," -95.5534
"
" Foundation for Life
"," 29.8174
"," -95.4652
"
" Care Net Pregnancy Center
"," 29.9923
"," -95.5109
"
" Beltway 8 S Crisis Pregnancy Center
"," 29.5844
"," -95.2158
"
" The Source for Women
"," 29.7312
"," -95.4856
"
" The Source for Women
"," 29.8586
"," -95.3325
"
" The Source for Women
"," 29.8036
"," -95.4943
"
" Mission Greenspoint
"," 29.9386
"," -95.4142
"
" Care Net Pregnancy Center
"," 29.9461
"," -95.6749
"
" Downtown Pregnancy Help Center
"," 29.7377
"," -95.378
"
" Women's Pregnancy Center
"," 29.6788
"," -95.5261
"
" Fifth Ward Pregnancy Help Center
"," 29.7751
"," -95.3113
"
" Blessed Beginnings Pregnancy and Parenting Life Center
"," 29.7449
"," -95.3789
"
" Lifeline Pregnancy Care Center
"," 30.0184
"," -95.434
"
" Pregnancy Care Center of the Nern Big Country
"," 33.1497
"," -99.7343
"
" Choices Clinic
"," 31.6971
"," -98.1278
"
" Raffa Clinic
"," 33.1408
"," -96.1077
"
" Grapevine Women's Care Clinic
"," 32.9265
"," -97.1052
"
" Pregnancy Resource Center of Grand Prairie
"," 32.7111
"," -97.0032
"
" Brazos Pregnancy Center
"," 32.4413
"," -97.755
"
" Central Texas Pregnancy Care Center
"," 31.4485
"," -98.5728
"
" Open Door Pregnancy Help Center
"," 32.7551
"," -94.9406
"
" Pregnancy Help Center of Williamson County
"," 30.6047
"," -97.667
"
" Metro Family Pregnancy Center
"," 32.9145
"," -96.6809
"
" ABBA Women's Center
"," 33.6255
"," -97.1358
"
" LifeTalk Resource Center
"," 33.109
"," -96.814
"
" Center for Pregnancy
"," 29.5128
"," -95.1839
"
" MOM Center
"," 30.2778
"," -98.8778
"
" Pregnancy Options Center
"," 32.7386
"," -97.3372
"
" Eagle Mountain Pregnancy Help Center
"," 32.8428
"," -97.4958
"
" Pregnancy Help Center of Fort Worth
"," 32.7233
"," -97.4482
"
" Pregnancy Lifeline
"," 32.6778
"," -97.3942
"
" Women's Choice Resource Center
"," 32.7399
"," -97.2581
"
" Fort Worth Pregnancy Center
"," 32.7031
"," -97.3505
"
" Next Step Women's Center
"," 32.6609
"," -97.284
"
" Kleberg County Pregnancy Resource Center
"," 27.2221
"," -98.1452
"
" Mid Cities Pregnancy Center
"," 32.8355
"," -97.1193
"
" Bastrop Pregnancy Resource Center of Elgin
"," 30.3484
"," -97.3721
"
" Pregnancy & Fatherhood Solutions
"," 31.8703
"," -106.428
"
" House of Hope
"," 31.7698
"," -106.482
"
" Pregnancy & Fatherhood Solutions
"," 31.7979
"," -106.323
"
" SW Pregnancy Services
"," 32.6418
"," -96.9232
"
" Care Net Pregnancy Resource Center of Dumas
"," 35.8518
"," -101.966
"
" Heart of Texas Pregnancy Resource Center
"," 30.1936
"," -98.101
"
" Loreto House
"," 33.2255
"," -97.1608
"
" Woman to Woman Pregnancy Resource Center
"," 33.2188
"," -97.1327
"
" Amistad Pregnancy Care Center
"," 29.3865
"," -100.912
"
" Wise Choices Pregnancy Center
"," 33.2387
"," -97.5862
"
" Pregnancy Care Center of Dayton
"," 30.0438
"," -94.8843
"
" The Turn Around Agenda
"," 32.6616
"," -96.841
"
" Thrive Women's Clinic
"," 32.8645
"," -96.7671
"
" Birth Choice
"," 32.8944
"," -96.7527
"
" White Rose Women's Center
"," 32.8938
"," -96.7546
"
" White Rose Women's Center
"," 32.8178
"," -96.7888
"
" Thrive Women's Clinic
"," 32.7894
"," -96.8659
"
" Thrive Women's Clinic
"," 32.8724
"," -96.6838
"
" Downtown Pregnancy Center
"," 32.7842
"," -96.7996
"
" Uptown Women's Center
"," 32.7959
"," -96.801
"
" Care Net of Dalhart
"," 36.0633
"," -102.523
"
" Living Alternatives of Crockett
"," 31.3174
"," -95.4557
"
" Hope Center
"," 32.0918
"," -96.4764
"
" Birthright of Corpus Christi
"," 27.768
"," -97.4083
"
" Pregnancy Center of Corpus Christi
"," 27.7194
"," -97.381
"
" A Pregnancy Resource Center
"," 27.8414
"," -97.5918
"
" Corpus Christi Hope House & Gabriel Project
"," 27.7546
"," -97.3941
"
" Hope Pregnancy Center
"," 31.1196
"," -97.9036
"
" Baptist Healthy Women's Center
"," 29.4985
"," -98.3216
"
" Birthright of Conroe
"," 30.2876
"," -95.4574
"
" Pregnancy Assistance Center North
"," 30.3091
"," -95.4597
"
" Hope Pregnancy Center
"," 30.6109
"," -96.3103
"
" Cleburne Pregnancy Center
"," 32.3466
"," -97.3867
"
" Paris Pregnancy Care Center
"," 33.6098
"," -95.0611
"
" The Open Door
"," 32.3793
"," -99.0006
"
" Anderson House Pregnancy Resource Center
"," 28.5233
"," -99.8619
"
" CareNet Pregnancy Center
"," 34.9818
"," -101.925
"
" Hope Pregnancy Center
"," 32.546
"," -95.8496
"
" CareNet Pregnancy Resource Center of Cactus
"," 36.0528
"," -101.997
"
" Next Step Women's Center
"," 32.5445
"," -97.33
"
" Gabriel Project Life Center
"," 30.6573
"," -96.3693
"
" Central Texas Pregnancy Care Center
"," 31.7015
"," -98.9706
"
" New Beginnings Pregnancy Center
"," 30.1775
"," -96.3917
"
" The Open Door
"," 32.7562
"," -98.91
"
" Pregnancy Care Center
"," 31.132
"," -99.3365
"
" Clear Choice Pregnancy Resource Center
"," 33.559
"," -97.8492
"
" CareNet Pregnancy Center of Borger
"," 35.6622
"," -101.392
"
" Fannin Pregnancy Care Center
"," 33.5881
"," -96.1772
"
" Hill Country Pregnancy Care Center
"," 29.8044
"," -98.7398
"
" The Life Center
"," 32.2375
"," -101.47
"
" Birthright of Beaumont
"," 30.0859
"," -94.1277
"
" Hope Women's Resource Clinic
"," 30.0829
"," -94.1415
"
" Pregnancy Resource Center East
"," 29.7523
"," -94.9779
"
" Women's Pregnancy Center of Matagorda County
"," 28.972
"," -95.9694
"
" Bastrop Pregnancy Resource Center
"," 30.1025
"," -97.2872
"
" Gabriel Project Life Center
"," 30.3349
"," -97.6808
"
" Austin LifeCare
"," 30.35
"," -97.7185
"
" St John Paul II Life Center
"," 30.3092
"," -97.7498
"
" TruCare Testing Clinic
"," 30.2206
"," -97.7618
"
" Heart of Texas Pregnancy Resource Center
"," 30.323
"," -97.6951
"
" Austin Pregnancy Resource Center
"," 30.2932
"," -97.7439
"
" Metroplex Women's Clinic Southeast
"," 32.661
"," -97.0904
"
" Metroplex Women's Clinic Southwest
"," 32.6721
"," -97.1983
"
" Metroplex Women's Clinic North
"," 32.757
"," -97.15
"
" The Life Center
"," 32.3361
"," -102.543
"
" Amarillo Agency for Women
"," 35.1642
"," -101.865
"
" Care Net Pregnancy Center
"," 35.1936
"," -101.912
"
" CareNet Pregnancy Center
"," 35.1979
"," -101.837
"
" Kleberg County Pregnancy Resource Center
"," 27.7525
"," -98.0651
"
" Pregnancy Resources of Abilene
"," 32.4732
"," -99.765
"
" Plateau Pregnancy Servcies
"," 35.9731
"," -85.037
"
" Pregnancy Support Center of Johnson County
"," 36.4636
"," -81.7997
"
" Choices Chattanooga Downtown Clinic
"," 35.043
"," -85.2945
"
" Agape Women's Services
"," 36.3073
"," -82.3635
"
" The Care Center
"," 35.6866
"," -84.8551
"
" Community Pregnancy Center
"," 36.3875
"," -86.1376
"
" Portico
"," 35.838
"," -86.3906
"
" Cookeville Pregnancy Clinic
"," 36.1718
"," -85.5028
"
" Pregnancy Centers of Middle Tennessee
"," 35.6164
"," -87.0397
"
" Choices Chattanooga East
"," 35.0317
"," -85.1867
"
" Life Choices Medical Clinic
"," 36.047
"," -89.3788
"
" Catholic Charities of East Tennessee
"," 35.0093
"," -85.2115
"
" Life Choices of Memphis
"," 35.1834
"," -89.8774
"
" Abortion Alternatives and Crisis Pregnancy Center
"," 36.5888
"," -82.1874
"
" Women's Care Center of Sevier County
"," 35.8625
"," -83.5592
"
" Full Circle Medical Center for Women
"," 35.4451
"," -84.6142
"
" Pregnancy Care Center
"," 36.2174
"," -86.5841
"
" Abortion Alternative and Women's Center
"," 36.3565
"," -82.2379
"
" Life Choices Pregnancy Resource Center
"," 35.1957
"," -87.0339
"
" Birth Choice
"," 35.6504
"," -88.8465
"
" Life Choices
"," 35.3787
"," -85.7084
"
" Life Choices of Franklin County
"," 35.1772
"," -86.0803
"
" New Hope Pregnancy Care Center
"," 35.1625
"," -84.8762
"
" Hope Pregnancy Center
"," 36.5311
"," -87.3596
"
" Bethany Christian Services
"," 35.9285
"," -84.0025
"
" A Division of Family Ministries
"," 36.1671
"," -82.8233
"
" CareNet Pregnancy Medical Center
"," 36.0735
"," -87.3918
"
" Pregnancy Crisis Center Inc.
"," 36.2077
"," -83.2978
"
" Pregnancy Resource Center
"," 35.6997
"," -84.0265
"
" Life Choices; Coffee County
"," 35.484
"," -86.0908
"
" Catholic Charities of East Tennessee
"," 36.3766
"," -84.1239
"
" Catholic Charities of East Tennessee
"," 36.5531
"," -84.1676
"
" The Care Center
"," 35.4922
"," -85.0135
"
" Confidential Care
"," 35.2009
"," -89.8434
"
" Hope Resource Center
"," 35.9541
"," -83.9483
"
" Oasis Medical
"," 36.3402
"," -88.8752
"
" Life Choices of Memphis
"," 35.14
"," -89.9805
"
